meter_id,meter_serial,meter_type,consumer_name,consumer_id,consumer_category,consumer_subtype,consumer_label,tariff_code,phase,supply_level,rated_ampere,rated_kva,voltage_v,base_load_kw,dcs_id,pss_id,pss_name,feeder_id,feeder_name,feeder_length_km,dtr_id,dtr_type,dcu_id,latitude,longitude,is_tampered,tamper_bypass_pct,register_start_kwh
d7bd97f2-e219-490d-9e62-c62e076065e6,NEA18135295,Itron ACE1000,Mustang Trading Co,KTM-214576,COM,COM_LV_1P,Commercial LV Single Phase,C1,1P,LV,,,230,2.774,DCS_BALAJU_01,PSS_BALAJU_01,Balaju Primary Substation,FDR_01,Balaju Industrial Corridor,4.2,DTR_FDR_01_01,LV_SHARED,ec0a70b9-1ff4-45e2-9976-80de9800488d,27.742858,85.293924,False,0.0,18231.8
f23c0c37-9e02-4835-8224-6e62f32c26b8,NEA43528453,Secure Elite 310,Laxmi General Store Pvt. Ltd.,KTM-997546,COM,COM_LV_1P,Commercial LV Single Phase,C1,1P,LV,,,230,3.045,DCS_BALAJU_01,PSS_BALAJU_01,Balaju Primary Substation,FDR_01,Balaju Industrial Corridor,4.2,DTR_FDR_01_01,LV_SHARED,ec0a70b9-1ff4-45e2-9976-80de9800488d,27.738226,85.286571,False,0.0,4995.8
d08e5e68-5435-48fa-8178-654b7deb32fd,NEA41726318,L&G E350,Swastik Stationery,KTM-324130,COM,COM_LV_3P,Commercial LV Three Phase,C2,3P,LV,,,400,13.313,DCS_BALAJU_01,PSS_BALAJU_01,Balaju Primary Substation,FDR_01,Balaju Industrial Corridor,4.2,DTR_FDR_01_01,LV_SHARED,ec0a70b9-1ff4-45e2-9976-80de9800488d,27.746509,85.30038,False,0.0,85751.6
986218b8-90b4-43ea-a114-98d85ee6a66b,NEA71070189,Wasion WFET-201,Anita Bista,KTM-865990,DOM,DOM_SP_5A,Domestic Single Phase 5A,D1,1P,LV,5,,230,0.689,DCS_BALAJU_01,PSS_BALAJU_01,Balaju Primary Substation,FDR_01,Balaju Industrial Corridor,4.2,DTR_FDR_01_01,LV_SHARED,ec0a70b9-1ff4-45e2-9976-80de9800488d,27.729832,85.288809,False,0.0,52886.8
3dfcf30a-cf56-4536-91da-29faaea4dcbb,NEA17849494,Secure Elite 310,Kamala Sharma,KTM-159942,DOM,DOM_SP_15A,Domestic Single Phase 15A,D2,1P,LV,15,,230,1.73,DCS_BALAJU_01,PSS_BALAJU_01,Balaju Primary Substation,FDR_01,Balaju Industrial Corridor,4.2,DTR_FDR_01_01,LV_SHARED,ec0a70b9-1ff4-45e2-9976-80de9800488d,27.732884,85.286934,False,0.0,45399.6
8777e766-078a-4b1e-9f66-b08ab8c3edd5,NEA78159587,Secure Elite 310,Annapurna Restaurant,KTM-171262,COM,COM_LV_3P,Commercial LV Three Phase,C2,3P,LV,,,400,12.631,DCS_BALAJU_01,PSS_BALAJU_01,Balaju Primary Substation,FDR_01,Balaju Industrial Corridor,4.2,DTR_FDR_01_01,LV_SHARED,ec0a70b9-1ff4-45e2-9976-80de9800488d,27.740411,85.282138,False,0.0,22497.3
9106c5eb-1b3d-45cc-a7aa-0efc6e780da5,NEA89795010,Secure Elite 310,Sabina Tamang,KTM-539589,DOM,DOM_SP_15A,Domestic Single Phase 15A,D2,1P,LV,15,,230,2.094,DCS_BALAJU_01,PSS_BALAJU_01,Balaju Primary Substation,FDR_01,Balaju Industrial Corridor,4.2,DTR_FDR_01_01,LV_SHARED,ec0a70b9-1ff4-45e2-9976-80de9800488d,27.747594,85.285925,False,0.0,53783.5
bd434b02-8db6-4ace-853e-2ad468deb28a,NEA52169044,L&G E350,Valley Electronics,KTM-804318,COM,COM_LV_1P,Commercial LV Single Phase,C1,1P,LV,,,230,3.131,DCS_BALAJU_01,PSS_BALAJU_01,Balaju Primary Substation,FDR_01,Balaju Industrial Corridor,4.2,DTR_FDR_01_01,LV_SHARED,ec0a70b9-1ff4-45e2-9976-80de9800488d,27.735004,85.294395,False,0.0,43544.9
047a9606-536d-41bb-962c-1b9dd3e25d30,NEA93370583,Secure Elite 310,Bishnu Tuladhar,KTM-323508,DOM,DOM_SP_5A,Domestic Single Phase 5A,D1,1P,LV,5,,230,0.601,DCS_BALAJU_01,PSS_BALAJU_01,Balaju Primary Substation,FDR_01,Balaju Industrial Corridor,4.2,DTR_FDR_01_01,LV_SHARED,ec0a70b9-1ff4-45e2-9976-80de9800488d,27.748503,85.281187,False,0.0,12756.9
a5115832-e013-4080-acfb-84b8202720b2,NEA48250360,L&G E350,Laxmi General Store Pvt. Ltd.,KTM-837715,COM,COM_LV_1P,Commercial LV Single Phase,C1,1P,LV,,,230,2.822,DCS_BALAJU_01,PSS_BALAJU_01,Balaju Primary Substation,FDR_01,Balaju Industrial Corridor,4.2,DTR_FDR_01_01,LV_SHARED,ec0a70b9-1ff4-45e2-9976-80de9800488d,27.731164,85.285886,False,0.0,93469.3
